hours,cpu,mem,disk
0.0000,5.68,1.81,24.73
0.0806,99.99,11.32,24.83
0.1611,99.93,13.23,25.37
0.2419,99.91,14.25,25.77
0.3239,99.91,14.79,26.13
0.4044,99.89,15.12,26.50
0.4850,99.89,15.30,26.85
0.5656,99.89,15.50,27.21
0.6475,99.87,15.73,27.56
0.7281,99.83,16.15,27.91
0.8086,99.86,17.05,28.31
0.8892,99.86,17.83,28.70
0.9711,99.88,18.82,29.11
1.0517,99.87,19.39,29.49
1.1322,99.87,19.80,29.87
1.2131,99.88,20.17,30.28
1.2950,99.85,20.71,30.65
1.3756,99.87,21.09,31.06
1.4561,99.85,21.54,31.44
1.5367,99.86,22.00,31.84
1.6186,99.86,22.47,32.22
1.6992,99.86,22.94,32.59
1.7797,99.85,23.22,32.99
1.8603,99.86,23.57,33.38
1.9422,99.84,24.16,33.77
2.0228,99.86,24.61,34.16
2.1033,99.84,24.98,34.54
2.1839,99.84,25.50,34.94
2.2661,99.87,25.80,35.33
2.3467,99.85,26.28,35.72
2.4272,99.86,26.73,36.13
2.5078,99.84,27.17,36.51
2.5897,99.85,27.62,36.93
2.6703,99.86,28.04,37.31
2.7508,99.83,28.55,37.70
2.8314,99.85,28.91,38.10
2.9133,99.87,29.30,38.48
2.9939,99.85,29.72,38.88
3.0744,99.85,30.13,39.26
3.1550,99.86,30.50,39.63
3.2369,99.85,30.98,40.03
3.3178,99.85,31.40,40.40
3.3983,99.83,31.89,40.77
3.4789,99.84,32.23,41.16
3.5608,99.83,32.64,41.54
3.6414,99.84,33.06,41.89
3.7219,99.84,33.53,42.28
3.8025,99.83,33.92,42.66
3.8844,99.86,34.37,43.03
3.9650,99.86,34.75,43.41
4.0456,99.82,35.18,43.77
4.1261,99.87,35.67,44.14
4.2081,99.84,36.01,44.52
4.2886,99.82,36.42,44.89
4.3694,99.87,36.93,45.26
4.4500,99.85,37.28,45.65
4.5319,99.85,37.70,46.03
4.6125,99.86,38.20,46.40
4.6931,99.85,38.57,46.79
4.7736,99.84,38.97,47.17
4.8556,99.87,39.33,47.57
4.9361,99.85,39.78,47.95
5.0167,99.84,40.17,48.34
5.0972,99.85,40.74,48.74
5.1792,99.86,41.15,49.12
5.2597,99.84,41.63,49.49
