hours,cpu,mem
0.0000,3.20,0.82
0.0406,100.00,4.10
0.0814,99.94,7.31
0.1222,99.97,8.20
0.1631,100.00,8.84
0.2039,99.94,9.66
0.2447,99.97,10.24
0.2856,99.81,10.65
0.3264,100.00,10.95
0.3672,99.94,11.21
0.4081,99.84,11.46
0.4489,99.91,11.70
0.4897,99.91,11.95
0.5306,99.94,12.26
0.5714,99.81,12.57
0.6122,99.91,12.86
0.6531,99.91,13.13
0.6939,99.91,13.54
0.7347,99.78,13.96
0.7756,99.94,14.21
0.8164,99.84,14.55
0.8572,99.84,14.82
0.8981,99.94,15.16
0.9389,99.88,15.38
0.9797,99.91,15.71
1.0206,99.88,16.06
1.0614,99.91,16.36
1.1022,99.94,16.73
1.1431,99.88,17.10
1.1839,99.81,17.51
1.2247,99.81,17.83
1.2656,99.84,18.21
1.3064,99.88,18.61
1.3472,99.81,18.94
1.3878,99.75,19.33
1.4286,99.78,19.70
1.4694,99.84,20.05
1.5103,99.94,20.41
1.5511,99.84,20.79
1.5919,99.81,21.18
1.6328,99.91,21.53
1.6736,99.81,21.84
1.7144,99.97,22.22
1.7553,99.88,22.56
1.7961,99.94,22.96
1.8369,99.97,23.31
1.8778,99.97,23.68
1.9186,99.94,24.04
1.9594,99.94,24.35
2.0003,99.81,24.71
2.0411,99.84,25.13
2.0819,99.88,25.52
2.1228,99.81,25.89
2.1636,99.97,26.26
2.2044,99.84,26.63
2.2453,99.97,27.01
2.2861,99.97,27.32
2.3269,99.81,27.71
2.3678,99.75,28.11
2.4086,99.94,28.38
2.4494,99.88,28.74
2.4903,99.94,29.19
2.5311,99.94,29.63
2.5719,99.91,29.98
2.6128,99.94,30.37
2.6536,99.81,30.76
2.6944,99.94,31.08
2.7350,99.81,31.43
2.7758,99.88,31.78
2.8167,99.81,32.12
2.8575,99.81,32.49
2.8983,99.88,32.94
2.9392,99.88,33.19
2.9800,99.84,33.59
3.0208,99.88,33.96
3.0617,99.91,34.26
3.1025,99.81,34.63
3.1433,99.91,35.03
3.1842,99.78,35.32
3.2250,99.84,35.70
3.2658,99.78,36.06
3.3067,99.97,36.37
3.3475,99.88,36.75
3.3883,99.97,37.16
3.4292,99.97,37.41
3.4700,99.81,37.83
3.5108,99.78,38.24
3.5517,99.94,38.57
3.5925,99.97,38.98
3.6333,99.78,39.38
3.6742,99.81,39.69
3.7150,99.88,39.97
3.7558,99.97,40.35
3.7967,99.97,40.70
3.8375,99.88,41.06
3.8783,99.88,41.46
3.9192,99.81,41.84
3.9600,99.75,42.16
4.0008,99.91,42.53
4.0417,99.94,42.91
4.0825,99.91,43.19
4.1231,99.84,43.59
4.1639,99.75,43.96
4.2047,99.94,44.31
4.2456,99.78,44.68
4.2864,99.78,45.05
4.3272,99.88,45.38
4.3681,99.91,45.72
4.4089,99.84,46.03
4.4497,99.88,46.39
4.4906,99.84,46.75
4.5314,99.75,47.12
4.5722,99.78,47.53
4.6131,99.84,47.89
4.6539,100.00,48.18
4.6947,99.91,48.52
4.7356,99.94,48.87
4.7764,99.91,49.21
4.8172,99.84,49.54
4.8581,99.84,49.94
4.8989,99.91,50.24
4.9397,99.78,50.61
4.9806,99.91,51.00
5.0214,99.91,51.33
5.0622,99.84,51.65
5.1031,99.84,52.08
5.1439,99.94,52.38
5.1847,99.91,52.80
5.2256,99.94,53.19
5.2664,99.88,53.49
5.3072,99.88,53.90
5.3481,99.94,54.26
5.3889,99.84,54.55
5.4297,99.88,54.91
5.4703,99.84,55.29
5.5111,99.88,55.62
5.5519,100.00,56.02
5.5928,99.88,56.36
5.6336,99.84,56.69
5.6744,99.78,57.09
5.7153,99.84,57.43
5.7561,99.91,57.80
5.7969,99.84,58.18
5.8378,99.72,58.46
5.8786,99.81,58.84
5.9194,99.88,59.20
5.9603,99.91,59.55
6.0011,99.78,59.93
6.0419,100.00,60.25
6.0828,99.88,60.64
6.1236,99.88,61.01
6.1644,99.94,61.33
6.2053,99.88,61.70
6.2461,99.84,62.08
6.2869,99.91,62.38
6.3278,99.94,62.72
6.3686,99.84,63.04
6.4094,99.88,63.38
6.4503,99.84,63.75
6.4911,99.91,64.02
6.5319,99.81,64.38
6.5728,99.84,64.74
6.6136,99.91,65.04
6.6544,99.84,65.46
6.6953,99.94,65.77
6.7361,99.88,66.58
6.7769,99.84,66.95
6.8175,99.84,67.24
6.8583,99.97,67.60
6.8992,99.88,67.92
6.9400,99.88,68.28
6.9808,100.00,68.65
7.0217,99.88,68.99
7.0625,99.84,69.33
7.1033,99.91,69.74
7.1442,99.84,70.06
7.1850,99.88,70.37
7.2258,100.00,70.74
7.2667,99.88,71.06
7.3075,99.88,71.45
7.3483,99.88,71.76
7.3892,99.97,72.09
7.4300,99.81,72.47
7.4708,99.78,72.79
7.5117,99.91,73.15
7.5525,99.94,73.50
7.5933,99.94,73.81
7.6342,99.78,74.18
7.6750,99.84,74.46
7.7158,99.78,74.81
7.7567,99.84,75.19
7.7975,99.81,75.48
7.8383,99.84,75.84
7.8792,99.78,76.45
7.9200,99.88,76.82
7.9608,99.94,77.15
8.0017,99.91,77.47
8.0425,99.81,77.82
8.0833,99.84,78.13
8.1242,99.91,78.42
