hours,cpu,mem,disk
0.0000,99.89,34.92,46.76
0.0583,99.87,35.21,47.01
0.1181,99.89,35.50,47.29
0.1764,99.90,35.75,47.55
0.2361,99.87,35.98,47.80
0.2944,99.87,36.27,48.06
0.3542,99.87,36.60,48.34
0.4125,99.87,36.86,48.60
0.4722,99.87,37.16,48.86
0.5322,99.86,37.48,49.12
0.5906,99.87,37.82,49.39
0.6503,99.87,38.05,49.66
0.7086,99.88,38.29,49.91
0.7683,99.88,38.56,50.17
0.8267,99.87,38.89,50.44
0.8864,99.88,39.12,50.72
0.9461,99.89,39.44,50.98
1.0044,99.87,39.70,51.23
1.0642,99.87,40.06,51.49
1.1225,99.86,40.32,51.76
1.1822,99.86,40.64,52.01
1.2406,99.88,40.90,52.26
1.3003,99.85,41.30,52.53
1.3586,99.88,41.48,52.80
1.4183,99.87,41.80,53.06
1.4781,99.87,42.11,53.32
1.5367,99.89,42.46,53.56
1.5964,99.86,42.70,53.84
1.6547,99.87,42.96,54.10
1.7144,99.87,43.25,54.35
1.7728,99.86,43.59,54.60
1.8325,99.88,43.82,54.86
1.8922,99.87,44.07,55.13
1.9506,99.86,44.32,55.38
2.0103,99.87,44.68,55.63
2.0686,99.89,44.93,55.88
2.1283,99.88,45.15,56.14
2.1867,99.86,45.43,56.39
2.2464,99.87,45.69,56.64
2.3061,99.87,46.03,56.90
2.3644,99.89,46.26,57.16
2.4242,99.87,46.47,57.42
2.4825,99.87,46.74,57.68
2.5425,99.86,47.02,57.93
2.6008,99.87,47.35,58.17
2.6606,99.88,47.63,58.44
2.7189,99.86,47.87,58.70
2.7786,99.86,48.16,58.95
2.8383,99.87,48.46,59.20
2.8967,99.86,48.80,59.45
2.9564,99.87,49.03,59.73
3.0147,99.86,49.29,59.98
3.0744,99.86,49.58,60.23
3.1328,99.86,49.85,60.47
3.1925,99.87,50.19,60.72
3.2522,99.86,50.40,60.99
3.3106,99.87,50.69,61.24
3.3703,99.86,50.99,61.48
3.4286,99.88,51.28,61.72
3.4883,99.87,51.65,61.98
3.5469,99.87,51.90,62.24
3.6067,99.86,52.14,62.50
3.6664,99.86,52.42,62.75
3.7247,99.87,52.68,63.00
3.7844,99.86,52.98,63.25
3.8428,99.86,53.27,63.53
3.9025,99.87,53.56,63.79
3.9608,99.86,53.83,64.03
4.0206,99.86,54.10,64.28
4.0789,99.85,54.46,64.54
4.1386,99.86,54.69,64.81
4.1983,99.85,54.98,65.06
4.2567,99.85,55.23,65.31
4.3164,99.84,55.59,65.56
4.3747,99.86,55.81,65.83
4.4344,99.87,56.07,66.10
4.4928,99.87,56.31,66.34
4.5528,99.86,56.58,66.59
4.6125,99.86,56.91,66.86
4.6708,99.87,57.15,67.12
4.7306,99.86,57.41,67.37
4.7889,99.87,57.74,67.61
4.8486,99.86,57.98,67.85
4.9069,99.86,58.30,68.11
4.9667,99.87,58.57,68.38
5.0264,99.87,58.82,68.62
5.0847,99.86,59.02,68.87
5.1444,99.87,59.31,69.12
5.2028,99.84,59.75,69.38
5.2625,99.84,60.06,69.64
5.3208,99.88,60.20,69.89
5.3806,99.85,60.49,70.15
5.4389,99.87,60.75,70.40
5.4986,99.87,61.07,70.66
5.5583,99.89,61.31,70.93
5.6169,99.87,61.64,71.18
5.6767,99.86,61.86,71.44
5.7350,99.87,62.12,71.70
5.7947,99.86,62.40,71.95
5.8531,99.87,62.62,72.22
5.9128,99.85,62.85,72.48
5.9725,99.87,63.13,72.74
6.0308,99.86,63.40,72.99
6.0906,99.89,63.68,73.24
6.1489,99.88,63.91,73.50
6.2086,99.86,64.16,73.77
